ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D275001WM00A5003+01DE05921+5,369.788055,80,44.8,85,42.294,195.5228338,1.54E-14,0.351664148,8.37E-05,2.32E-08,190.981294,-4.50E-15,0.355028348,8.71E-05,2.57E-08,139.0727995,-0.206765227,0.001719633,175.4765129,-0.090670148,0.001714312
UC4D275002R400A5003+01DE00530+5,368.34434,82,42.294,83,44.8,188.2015164,1.74E-14,0.36126556,8.89E-05,2.52E-08,201.1465324,2.11E-14,0.341581472,8.41E-05,2.48E-08,140.6992616,-0.012402435,0.001708159,134.6742626,0.080791633,0.001645522
UC4D2750000K00A5003+01DE05419+5,372.2719,84,42.294,95,37.695,187.126342,-5.61E-15,0.35321453,8.73E-05,2.82E-08,182.5912894,1.37E-14,0.353813947,8.72E-05,2.74E-08,70.15764015,-0.118773887,0.001758944,161.8397806,0.070424238,0.001648915
UC4D2750000M00A5003+01DE05421+5,372.81205,87,39.928,95,37.695,182.4144258,-1.80E-14,0.362798229,8.79E-05,2.42E-08,178.3146421,2.09E-14,0.356647769,8.93E-05,2.85E-08,158.4687746,-0.219238341,0.00166992,189.7394485,0.013149718,0.001605033
UC4D275001J800A5003+01DE00516+5,368.233905,80,44.8,92,39.928,191.5087143,-1.78E-14,0.351172374,8.46E-05,2.49E-08,195.6570712,2.21E-14,0.347300913,8.66E-05,2.59E-08,129.2662445,-0.135056506,0.001722725,172.4537124,-0.012339022,0.001641989
UC4D275001JA00A5003+01DE00518+5,370.67693,82,42.294,83,44.8,190.3211678,2.57E-14,0.367207909,9.06E-05,2.58E-08,188.9846416,-3.80E-15,0.345578129,8.03E-05,2.21E-08,88.69951861,-0.160601791,0.001719857,138.5348866,-0.143235046,0.001678106
UC4D275001UH00A5003+01DE01013+5,371.773415,79,44.8,86,42.294,183.6374372,-8.24E-15,0.362683475,8.41E-05,1.95E-08,184.1496213,-5.66E-15,0.354613612,8.66E-05,2.60E-08,186.0081451,-0.222474754,0.001662168,167.9502972,-0.28860506,0.001624222
UC4D275001W800A5003+01DE05908+5,371.688005,80,44.8,82,44.8,192.5287988,-5.52E-15,0.351460297,8.40E-05,2.35E-08,194.085732,4.36E-15,0.349321945,8.26E-05,2.26E-08,98.57723836,0.107497258,0.001722677,204.3567184,0.127707224,0.001620123
UC4D275001S100A5003+01DE01125+5,375.135605,84,42.294,88,42.294,194.9450626,1.24E-14,0.354531499,8.77E-05,2.75E-08,190.4229441,6.19E-15,0.347931245,8.24E-05,2.39E-08,136.6689798,-0.058120568,0.001696258,196.4474402,0.005725156,0.001621805
UC4D275001WT00A5003+01DE05927+5,371.62294,80,44.8,81,44.8,194.9072182,-1.39E-14,0.353319855,8.50E-05,2.34E-08,190.4079161,2.58E-15,0.357675757,8.69E-05,2.51E-08,104.0618796,0.129229795,0.001700114,172.3156756,0.164390593,0.00167749
