ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D2630024M00A5002+01AA06805+5,378.55883,82,42.294,86,42.294,182.4736419,-1.33E-14,0.364148436,8.93E-05,2.55E-08,179.4756027,-1.35E-14,0.349521702,8.34E-05,2.64E-08,130.0865128,-0.065264562,0.001774752,170.1469627,0.164097595,0.001644323
UC4D2630024P00A5002+01AA06807+5,378.35057,79,44.8,83,44.8,177.8943142,-1.45E-14,0.359444623,8.64E-05,2.64E-08,182.70063,2.47E-15,0.34183392,8.02E-05,2.63E-08,157.4837961,-0.000504946,0.001719481,204.2583744,0.072395789,0.001599562
UC4D2630024S00A5002+01AA06810+5,377.65949,83,42.294,83,42.294,176.8952698,1.45E-14,0.362955351,8.97E-05,2.54E-08,183.3250638,-7.19E-15,0.364082681,9.20E-05,2.81E-08,164.7036899,0.205047868,0.001643119,200.8839389,0.073670039,0.001617472
UC4D2630025S00A5002+01AA04912+5,372.937565,81,42.294,92,39.928,184.7505575,8.05E-15,0.369743756,9.56E-05,2.87E-08,180.2329401,-6.30E-15,0.344582881,8.12E-05,2.37E-08,65.94653865,-0.225754295,0.001745084,90.75217177,-0.057687169,0.001725444
UC4D2630026E00A5002+01AA10202+5,379.252965,80,44.8,83,42.294,179.0917423,-1.24E-14,0.355469209,8.43E-05,2.31E-08,179.1813415,-9.05E-15,0.368349008,9.12E-05,2.68E-08,84.83203026,-0.102415652,0.001688841,156.657296,-0.063833395,0.001737197
UC4D2630027600A5002+01AA10228+5,369.40644,77,44.8,84,42.294,169.6296492,1.32E-14,0.360529311,9.03E-05,2.83E-08,187.9040437,-5.25E-15,0.361429102,9.36E-05,2.86E-08,100.2753843,-0.128180817,0.001687927,147.0419217,-0.098854232,0.001663975
UC4D2630027B00A5002+01AA04201+5,376.55293,82,42.294,79,44.8,178.8088943,1.89E-14,0.367974088,9.21E-05,2.70E-08,179.4009656,1.38E-14,0.363048158,8.77E-05,2.58E-08,176.0302017,-0.153673045,0.001589084,141.0120983,-0.063149197,0.00164815
UC4D2630027F00A5002+01AA04205+5,378.82702,73,47.455,80,44.8,178.4744317,-5.77E-15,0.360154131,8.97E-05,2.76E-08,192.2571193,-2.72E-15,0.357114276,9.13E-05,2.82E-08,196.580751,-0.076595571,0.001612986,122.6909251,0.13456669,0.001675302
UC4D2630029B00A5002+01AA04205+5,372.88576,81,42.294,86,42.294,176.79965,1.93E-14,0.370995064,9.29E-05,2.60E-08,192.5751329,5.19E-15,0.352725362,8.60E-05,2.50E-08,147.7675919,-0.312145622,0.001721443,208.8497296,-0.190328718,0.001623398
UC4D2630029Y00A5002+01AA04226+5,385.511295,80,44.8,86,42.294,176.118051,-7.92E-15,0.357335785,8.20E-05,1.93E-08,181.0604076,8.66E-15,0.352124755,8.52E-05,2.47E-08,133.5838232,-0.148916594,0.001679366,149.8684216,-0.106111323,0.001684788
