ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D2620011R00A5002+01AA09031+5,188.5204487,0.051485084,0.001625428,165.962104,-0.046440008,0.001724899,374.11673,-1.55E-14,0.352463752,8.52E-05,2.50E-08,-3.28E-15,0.353243251,8.92E-05,2.76E-08,44.8,81,44.8,80,189.4048094,184.107417
UC4D2620011S00A5002+01AA09032+5,220.2730382,0.015127285,0.00165048,161.0890756,-0.005151373,0.001746603,380.49479,7.23E-15,0.349785557,7.94E-05,1.90E-08,-3.75E-15,0.336772397,7.84E-05,2.34E-08,42.294,89,44.8,81,183.467622,180.5472475
UC4D2620011U00A5002+01AA01202+5,86.79578896,-0.095583286,0.001778182,125.4880653,-0.088050017,0.001701586,371.69938,-6.83E-15,0.360846696,8.90E-05,2.55E-08,-1.35E-14,0.343169123,7.96E-05,2.20E-08,44.8,82,44.8,78,185.9950676,186.2090445
UC4D262001ZZ00A5002+01AA12007+5,99.0257097,0.032371037,0.001731256,183.3607913,-0.044565015,0.001665651,377.193245,5.16E-15,0.358786592,8.64E-05,2.46E-08,1.54E-14,0.347397188,8.23E-05,2.52E-08,42.294,86,42.294,84,188.0088225,167.6679237
UC4D2620011W00A5002+01AA01204+5,163.6888296,-0.114804933,0.001698202,176.182453,-0.059257666,0.001591749,379.98415,8.19E-15,0.376790382,9.63E-05,2.87E-08,-1.45E-14,0.350830088,8.49E-05,2.56E-08,42.294,86,42.294,80,182.8771619,170.1569688
UC4D262001FC00A5002+01AA02214+5,171.9863992,-0.14178259,0.001741019,231.7087755,-0.126789552,0.001637451,376.493455,-2.15E-14,0.361959217,8.82E-05,2.46E-08,1.30E-14,0.336328799,7.66E-05,2.21E-08,42.294,89,44.8,78,185.1611051,186.0496842
UC4D262001FE00A5002+01AA02216+5,126.6882224,-0.084760715,0.001639573,199.5310073,-0.111742146,0.001589154,378.16363,-1.68E-14,0.364685539,8.97E-05,2.39E-08,-9.49E-15,0.356456923,8.66E-05,2.66E-08,42.294,85,37.695,93,186.8226448,168.6944123
UC4D2620011Y00A5002+01AA01206+5,140.9278586,-0.056746368,0.001714256,140.95486,-0.056442654,0.00168151,380.70487,-1.11E-14,0.358076203,8.83E-05,2.60E-08,-2.08E-14,0.34434567,8.52E-05,2.66E-08,42.294,87,44.8,79,185.3552429,179.8797333
UC4D2620011T00A5002+01AA01201+5,178.5767302,-0.193000219,0.00167667,143.1703266,-0.075209016,0.00167055,377.50102,-1.32E-14,0.37037595,9.24E-05,2.62E-08,-1.59E-14,0.344508243,8.23E-05,2.52E-08,44.8,83,44.8,77,184.7332464,186.560954
UC4D262001Y100A5002+01AA04605+5,108.2819555,0.211929762,0.001716975,166.296941,0.030537243,0.001545921,369.917665,-1.80E-15,0.378026462,9.62E-05,2.83E-08,1.58E-14,0.344995971,8.02E-05,2.37E-08,42.294,87,39.928,84,183.4634598,174.0769735
